loss,accuracy,val_loss,val_accuracy,lr
0.13936558365821838,0.9362881183624268,0.001366324140690267,1.0,0.009999999776482582
0.004084696061909199,0.9990766644477844,0.0005757962935604155,1.0,0.009999999776482582
0.002209119265899062,1.0,0.0004174844652879983,1.0,0.009999999776482582
0.0005263787461444736,1.0,0.00021893710072617978,1.0,0.009999999776482582
0.00033279554918408394,1.0,0.00017972463683690876,1.0,0.009999999776482582
0.00025677739176899195,1.0,0.00015914271352812648,1.0,0.009999999776482582
0.00021218377514742315,1.0,0.00014051819744054228,1.0,0.009999999776482582
0.00018647685647010803,1.0,0.00012661727669183165,1.0,0.009999999776482582
0.00016544730169698596,1.0,0.0001095982370316051,1.0,0.009999999776482582
0.0001528494176454842,1.0,0.00010484972153790295,1.0,0.009999999776482582
0.00013806245988234878,1.0,9.027605119626969e-05,1.0,0.009999999776482582
0.00012665924441535026,1.0,8.867017459124327e-05,1.0,0.009999999776482582
0.00011665237252600491,1.0,7.979914516909048e-05,1.0,0.009999999776482582
0.00011021048703696579,1.0,7.431571430061013e-05,1.0,0.009999999776482582
0.00010406838555354625,1.0,7.18340597813949e-05,1.0,0.009999999776482582
9.886264888336882e-05,1.0,6.939722516108304e-05,1.0,0.009999999776482582
9.395326196681708e-05,1.0,6.47931155981496e-05,1.0,0.009999999776482582
8.947243622969836e-05,1.0,6.125937215983868e-05,1.0,0.009999999776482582
8.633982361061499e-05,1.0,5.917336602578871e-05,1.0,0.009999999776482582
8.160070137819275e-05,1.0,5.6612727348692715e-05,1.0,0.004999999888241291
8.021835674298927e-05,1.0,5.583317397395149e-05,1.0,0.004999999888241291
7.85559241194278e-05,1.0,5.4761931096436456e-05,1.0,0.004999999888241291
7.72376442910172e-05,1.0,5.3876294259680435e-05,1.0,0.004999999888241291
7.574696064693853e-05,1.0,5.258975943434052e-05,1.0,0.004999999888241291
7.466957322321832e-05,1.0,5.17169974045828e-05,1.0,0.004999999888241291
7.333365647355095e-05,1.0,5.094650259707123e-05,1.0,0.004999999888241291
7.229102629935369e-05,1.0,5.00946662214119e-05,1.0,0.004999999888241291
7.118334178812802e-05,1.0,4.946211993228644e-05,1.0,0.004999999888241291
7.010497211012989e-05,1.0,4.8655936552677304e-05,1.0,0.004999999888241291
6.901509914314374e-05,1.0,4.820120011572726e-05,1.0,0.0024999999441206455
6.846086034784093e-05,1.0,4.7801095206523314e-05,1.0,0.0024999999441206455
6.803709402447566e-05,1.0,4.746450576931238e-05,1.0,0.0024999999441206455
6.762481643818319e-05,1.0,4.6905610361136496e-05,1.0,0.0024999999441206455
6.734391354257241e-05,1.0,4.679827543441206e-05,1.0,0.0024999999441206455
6.682304228888825e-05,1.0,4.6546054363716394e-05,1.0,0.0024999999441206455
6.633554585278034e-05,1.0,4.619954415829852e-05,1.0,0.0024999999441206455
6.590587872778997e-05,1.0,4.592946788761765e-05,1.0,0.0024999999441206455
6.561508780578151e-05,1.0,4.53338616352994e-05,1.0,0.0024999999441206455
6.514017150038853e-05,1.0,4.532084130914882e-05,1.0,0.0024999999441206455
6.480319279944524e-05,1.0,4.515601176535711e-05,1.0,0.0012499999720603228
6.458297139033675e-05,1.0,4.4972344767302275e-05,1.0,0.0012499999720603228
6.442739686463028e-05,1.0,4.490478750085458e-05,1.0,0.0012499999720603228
6.420290446840227e-05,1.0,4.4768759835278615e-05,1.0,0.0012499999720603228
6.409913476090878e-05,1.0,4.457517570699565e-05,1.0,0.0012499999720603228
6.388426118064672e-05,1.0,4.450663618627004e-05,1.0,0.0012499999720603228
6.373119686031714e-05,1.0,4.439344411366619e-05,1.0,0.0012499999720603228
6.35706601315178e-05,1.0,4.429811451700516e-05,1.0,0.0012499999720603228
6.339895480778068e-05,1.0,4.416010051500052e-05,1.0,0.0012499999720603228
6.325495633063838e-05,1.0,4.40508738392964e-05,1.0,0.0012499999720603228
6.30915310466662e-05,1.0,4.398038436193019e-05,1.0,0.0006249999860301614
6.302262772805989e-05,1.0,4.3905925849685445e-05,1.0,0.0006249999860301614
6.295031198533252e-05,1.0,4.3889027438126504e-05,1.0,0.0006249999860301614
6.288487202255055e-05,1.0,4.3776857637567446e-05,1.0,0.0006249999860301614
6.28131310804747e-05,1.0,4.375697608338669e-05,1.0,0.0006249999860301614
6.274344923440367e-05,1.0,4.368549707578495e-05,1.0,0.0006249999860301614
6.266449054237455e-05,1.0,4.367356450529769e-05,1.0,0.0006249999860301614
6.259117071749642e-05,1.0,4.361895480542444e-05,1.0,0.0006249999860301614
6.253399624256417e-05,1.0,4.3549458496272564e-05,1.0,0.0006249999860301614
6.246677367016673e-05,1.0,4.351966344984248e-05,1.0,0.0006249999860301614
6.239248614292592e-05,1.0,4.348193760961294e-05,1.0,0.0003124999930150807
