loss,accuracy,val_loss,val_accuracy
9.318050331330596e-09,1.0,1.881740274711774e-08,1.0
6.881681446913035e-09,1.0,6.476267966348814e-09,1.0
6.291097864874473e-09,1.0,6.132395036217986e-09,1.0
5.6581801466393244e-09,1.0,6.495363802372367e-09,1.0
5.753432841260064e-09,1.0,5.234505273676859e-09,1.0
5.592556640010571e-09,1.0,6.399845542404137e-09,1.0
5.4761337686670686e-09,1.0,4.8333217428364605e-09,1.0
4.682339849182426e-09,1.0,4.489449700884052e-09,1.0
4.508763584709641e-09,1.0,4.202888259641213e-09,1.0
4.521460983397674e-09,1.0,4.756903315694672e-09,1.0
4.1637258085813755e-09,1.0,9.303632531043604e-09,1.0
5.4972786323048695e-09,1.0,3.8781196032289245e-09,1.0
3.6366465394621628e-09,1.0,3.5915599383429253e-09,1.0
3.966863726390102e-09,1.0,3.5915594942537155e-09,1.0
3.6747478393550637e-09,1.0,3.3432072665817714e-09,1.0
3.3466447391106158e-09,1.0,3.133062920213092e-09,1.0
3.4630684986325377e-09,1.0,3.3814144817512215e-09,1.0
2.978325142066751e-09,1.0,3.6297664873785607e-09,1.0
3.3106595243026504e-09,1.0,2.750981886734394e-09,1.0
2.7137265767862573e-09,1.0,2.903814522170478e-09,1.0
2.8364992576968007e-09,1.0,2.8656055306441885e-09,1.0
2.9105864385314817e-09,1.0,3.285893557247732e-09,1.0
2.726424641608105e-09,1.0,2.3689012973449053e-09,1.0
2.49146303588077e-09,1.0,2.502629437017845e-09,1.0
2.4554773769835947e-09,1.0,2.2733810389752307e-09,1.0
2.675623278491912e-09,1.0,2.0250288113032866e-09,1.0
2.9740885310047815e-09,1.0,2.0823407442804864e-09,1.0
2.313651936702854e-09,1.0,2.5408373183211097e-09,1.0
2.239564533823568e-09,1.0,1.9868207079554168e-09,1.0
2.0448200910294645e-09,1.0,1.833988183541635e-09,1.0
1.9474477586101102e-09,1.0,2.3689004091664856e-09,1.0
1.7378859462624519e-09,1.0,1.7575719768458953e-09,1.0
1.8500756482353609e-09,1.0,1.910404279215072e-09,1.0
1.6934332824902754e-09,1.0,1.7384682582388677e-09,1.0
1.596060950070921e-09,1.0,2.0823403001912766e-09,1.0
2.303063739717004e-09,1.0,1.7384683692611702e-09,1.0
1.5516082862987446e-09,1.0,1.6429479998691932e-09,1.0
1.5516080642541397e-09,1.0,1.5092197491739512e-09,1.0
1.464819709973142e-09,1.0,1.4901156975000163e-09,1.0
1.5833597766246044e-09,1.0,1.7766756954529228e-09,1.0
1.3780314667144467e-09,1.0,1.3563873357824718e-09,1.0
1.3822647471073424e-09,1.0,2.1396522331684764e-09,1.0
1.3018265354602931e-09,1.0,1.337283284108537e-09,1.0
1.4140170145893194e-09,1.0,1.318179232434602e-09,1.0
1.314527486862005e-09,1.0,1.2035549223909925e-09,1.0
1.3293448564155597e-09,1.0,1.8912995614073225e-09,1.0
1.4415350024776785e-09,1.0,1.2608667443458899e-09,1.0
1.4288332739198495e-09,1.0,1.2417630257388623e-09,1.0
1.2319726350185078e-09,1.0,1.1844508707170576e-09,1.0
1.079563993755528e-09,1.0,1.1271387156952528e-09,1.0
1.092264279023425e-09,1.0,1.1844508707170576e-09,1.0
1.0880308876082267e-09,1.0,1.1462429894137927e-09,1.0
1.2467900045720626e-09,1.0,1.0698266716957505e-09,1.0
1.0414614726173e-09,1.0,1.0698266716957505e-09,1.0
1.0266439920414427e-09,1.0,1.0507226200218156e-09,1.0
9.440891401979457e-10,1.0,1.0316185683478807e-09,1.0
9.546732293586047e-10,1.0,1.0125144056516433e-09,1.0
1.0054759247424272e-09,1.0,1.0316184573255782e-09,1.0
9.462060024389984e-10,1.0,1.6047392303875085e-09,1.0
8.594175926468495e-10,1.0,9.36098309978206e-10,1.0
9.12337205782876e-10,1.0,1.1080347750436204e-09,1.0
8.721181554705026e-10,1.0,8.787861549564013e-10,1.0
9.271546863587332e-10,1.0,8.978902621414875e-10,1.0
8.297824094505302e-10,1.0,1.0507226200218156e-09,1.0
8.615342328432973e-10,1.0,8.787862104675526e-10,1.0
8.827021891200104e-10,1.0,8.787862104675526e-10,1.0
8.615341218209949e-10,1.0,9.74306413326076e-10,1.0
8.805852713678064e-10,1.0,1.069826560673448e-09,1.0
7.387603306874269e-10,1.0,7.83265952097878e-10,1.0
7.768625187587475e-10,1.0,8.21474110956899e-10,1.0
7.218260433816681e-10,1.0,8.40578162630834e-10,1.0
7.197092366517666e-10,1.0,7.641619559350943e-10,1.0
7.133589829955156e-10,1.0,7.259538525872244e-10,1.0
7.154756231919635e-10,1.0,7.83265952097878e-10,1.0
6.985413358862047e-10,1.0,7.450579042611594e-10,1.0
6.540887276251794e-10,1.0,7.259538525872244e-10,1.0
6.731397661496885e-10,1.0,6.686416975654197e-10,1.0
6.879574132589994e-10,1.0,7.259538525872244e-10,1.0
5.842346051387892e-10,1.0,8.596821032824664e-10,1.0
6.138696218016548e-10,1.0,8.787861549564013e-10,1.0
6.244535999400114e-10,1.0,6.686416975654197e-10,1.0
7.006580315938038e-10,1.0,6.877457492393546e-10,1.0
5.842346051387892e-10,1.0,7.259538525872244e-10,1.0
6.477382519243235e-10,1.0,6.877458047505058e-10,1.0
5.651834555919777e-10,1.0,6.495376458914848e-10,1.0
6.159864840427076e-10,1.0,6.495376458914848e-10,1.0
5.969352234735936e-10,1.0,6.495376458914848e-10,1.0
5.122636204113462e-10,1.0,5.731214947068963e-10,1.0
6.308039646185648e-10,1.0,6.877457492393546e-10,1.0
6.138695662905036e-10,1.0,8.023699482606617e-10,1.0
5.694170135406296e-10,1.0,6.495376458914848e-10,1.0
5.101469247037471e-10,1.0,5.922255463808312e-10,1.0
5.270812675206571e-10,1.0,6.495376458914848e-10,1.0
5.207308473309524e-10,1.0,6.495375903803335e-10,1.0
5.334315766880593e-10,1.0,5.922255463808312e-10,1.0
4.974461953466403e-10,1.0,6.113295980547662e-10,1.0
5.101468136814447e-10,1.0,5.731214947068963e-10,1.0
4.847453549672309e-10,1.0,5.540174430329614e-10,1.0
4.6146067522734313e-10,1.0,7.832658965867267e-10,1.0
5.164971228488469e-10,1.0,7.259538525872244e-10,1.0
4.88978968427034e-10,1.0,6.113295980547662e-10,1.0
4.508767526001378e-10,1.0,5.540174430329614e-10,1.0
4.5934381298629035e-10,1.0,5.158093396850916e-10,1.0
4.466431391403347e-10,1.0,5.158093396850916e-10,1.0
4.910958306680868e-10,1.0,5.349133913590265e-10,1.0
4.318255752977507e-10,1.0,6.113295425436149e-10,1.0
4.2970879632342474e-10,1.0,7.450577932388569e-10,1.0
4.826285482373294e-10,1.0,5.731214947068963e-10,1.0
4.5299350381888814e-10,1.0,6.686416420542685e-10,1.0
4.741613768288744e-10,1.0,5.540174430329614e-10,1.0
3.979568896639307e-10,1.0,5.158093396850916e-10,1.0
4.043073098536354e-10,1.0,6.113295425436149e-10,1.0
3.9795694517508196e-10,1.0,5.731213836845939e-10,1.0
