F1,accuracy,recall,duration,precision,prediction_time
1.0,1.0,1.0,110.38041377067566,1.0,0.23035764694213867
1.0,1.0,1.0,86.84635782241821,1.0,0.21756911277770996
1.0,1.0,1.0,80.11623167991638,1.0,0.2178349494934082
1.0,1.0,1.0,91.3003659248352,1.0,0.2138206958770752
1.0,1.0,1.0,101.41010022163391,1.0,0.21729230880737305
