loss,accuracy,val_loss,val_accuracy
1.2591286897659302,0.7277644276618958,0.2963256537914276,0.8213140964508057
0.17659872770309448,0.9202724099159241,0.034907784312963486,0.9911859035491943
0.015034720301628113,0.9963942170143127,0.003840175922960043,0.9995192289352417
0.002512601437047124,0.9997996687889099,0.0012772990157827735,1.0
0.0008717606542631984,1.0,0.0006266075652092695,1.0
0.0005177795537747443,1.0,0.0004333329852670431,1.0
0.00037139543564990163,1.0,0.00041282211896032095,1.0
0.000305154942907393,1.0,0.0002771325525827706,1.0
0.00024715063045732677,1.0,0.00022867234656587243,1.0
0.00020875994232483208,1.0,0.0002349824644625187,1.0
0.00018358210218138993,1.0,0.0001766327623045072,1.0
0.0001607005251571536,1.0,0.00015642453217878938,1.0
0.00014230824308469892,1.0,0.00015005734167061746,1.0
0.00012760513345710933,1.0,0.00012502771278377622,1.0
0.00010755309631349519,1.0,0.0001118708896683529,1.0
9.762051922734827e-05,1.0,0.00010618393571348861,1.0
9.5135867013596e-05,1.0,0.00010124334221472964,1.0
8.506021549692377e-05,1.0,8.953195356298238e-05,1.0
7.756696140859276e-05,1.0,8.300089393742383e-05,1.0
7.249033660627902e-05,1.0,7.783874025335535e-05,1.0
6.825468881288543e-05,1.0,7.310654473258182e-05,1.0
6.369373295456171e-05,1.0,6.880934961372986e-05,1.0
5.978861736366525e-05,1.0,6.535532884299755e-05,1.0
5.749208139604889e-05,1.0,6.204028613865376e-05,1.0
5.320817945175804e-05,1.0,5.913305722060613e-05,1.0
5.109774792799726e-05,1.0,5.6437340390402824e-05,1.0
4.8275098379235715e-05,1.0,5.361869989428669e-05,1.0
4.627303496818058e-05,1.0,5.132896330906078e-05,1.0
4.39460709458217e-05,1.0,4.9386497266823426e-05,1.0
4.2226027289871126e-05,1.0,4.711803194368258e-05,1.0
4.004281072411686e-05,1.0,4.5487551687983796e-05,1.0
3.884123361785896e-05,1.0,4.346376590547152e-05,1.0
3.704495611600578e-05,1.0,4.200882904115133e-05,1.0
3.540009493008256e-05,1.0,4.0310951590072364e-05,1.0
